col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50,col_51,col_52,division
Vincent Furlong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,80,51,94,118,104,110,82,65,92,48,53,40,45,79,51,59,30,25,36,34,24,12,All
Stephanie M Sawyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,146,96,132,60,136,86,166,39,87,93,44,76,38,77,38,74,47,27,36,54,37,All
Kai Scott,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,174,124,65,79,79,106,35,116,98,86,62,71,64,77,51,40,32,44,27,33,All
Anthony Kyriakakis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,93,73,96,90,82,59,66,69,76,58,68,59,72,37,52,23,45,22,16,All
Daine Grey Jr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,113,86,55,94,85,57,57,69,59,49,54,53,54,45,30,51,27,20,All
Leon Goodman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,75,64,74,134,50,49,55,41,73,64,57,38,45,40,40,26,14,All
Lynne M Summers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,69,132,63,110,89,58,101,61,89,74,88,59,41,44,43,33,All
Chris Mccabe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,65,35,44,48,34,21,53,37,45,19,32,36,27,19,33,All
Deborah Watson Stokes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,22,106,92,59,77,47,85,40,63,49,30,39,55,42,All
Edward William Louden Jr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,22,29,33,34,50,36,36,30,26,20,37,10,10,All
Lucretia Clemons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,81,39,83,39,60,42,61,51,29,30,34,23,All
Jodi Lobel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,30,67,25,47,42,53,33,15,23,22,16,All
Leon A King Ii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,34,45,61,42,39,36,26,39,20,9,All
Rania Major,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,41,65,34,75,58,35,33,35,28,All
Wayne M D Bennett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,39,44,28,30,47,34,19,8,All
Frances Fattah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,33,61,53,37,28,27,24,All
Joshua Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,30,32,33,27,8,16,All
Shanese Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,53,25,24,28,20,All
Sandjai Weaver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,30,33,23,22,All
Franklin A Bennett Iii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,16,22,9,All
Sherman Toppin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,15,22,All
Tangie M Boston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,21,All
Starr Marshall Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,All
Total,"3,323","1,686","1,360",968,618,487,416,214,"2,074","1,773","1,764","1,499","1,456","1,433","1,404","1,324","1,231","1,171","1,067","1,035",936,854,757,716,715,681,583,563,528,519,515,513,470,444,441,372,369,332,295,289,269,267,266,262,229,212,185,157,156,115,97,All
,Judge Of The Municipal Court - Democrat,,,,,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,Christian Dicicco,Christine Hope,Sharon Williams Losier,Joffie C Pittman,Matthew Perks,Gary S Silver,Daniel R Sulman,Franklin A Bennett Iii,Marissa Brumbach,Vincent N Melchiorre,Vince Giusini,Scott Diclaudio,William J Ciancaglini,James F Berardinelli,Tracy B Roman,Mia Roberts Perez,Betsy Wahl,Jennifer Schultz,Rainy Papademetriou,Jodi Lobel,Lucretia Clemons,Vincent Furlong,Abbe Fletman,Chris Mallios,Rania Major,Stephanie M Sawyer,Deborah Watson Stokes,Leon Goodman,Lynne M Summers,Stella Tsai,Frances Fattah,Kai Scott,Thomas Martin,Daine Grey Jr,Lyris Younge,Shanese Johnson,Wayne M D Bennett,Anthony Kyriakakis,Chris Mccabe,Edward William Louden Jr,Jon Marshall,Ken Powell,Sandjai Weaver,Franklin A Bennett Iii,Leon A King Ii,Joshua Hill,Michael Fanning,Brian T Ortelere,Sherman Toppin,Starr Marshall Cash,Tangie M Boston,1
Christian Dicicco,13,15,12,7,4,4,1,2,31,22,21,18,18,8,10,5,5,5,6,5,4,6,4,2,5,4,3,2,6,2,4,1,4,3,3,3,3,2,3,3,3,2,2,2,2,1,1,0,1,1,1,1
Christine Hope,,0,9,5,3,1,1,1,12,6,10,10,7,2,9,7,6,5,6,4,6,5,5,2,5,5,3,3,5,4,4,2,3,2,2,3,1,3,2,1,0,0,3,1,1,1,1,1,0,0,1,1
Sharon Williams Losier,,,0,5,2,4,0,1,5,3,4,10,5,4,9,4,5,5,3,3,5,2,4,2,4,5,5,0,6,3,3,3,3,1,4,4,1,0,2,0,2,0,1,2,3,2,0,0,0,0,0,1
Joffie C Pittman,,,,0,4,0,3,0,6,4,7,9,4,2,5,5,4,4,3,3,5,2,3,2,3,2,3,3,3,4,3,4,3,0,1,2,2,1,2,2,1,2,1,1,1,0,0,0,0,1,0,1
Matthew Perks,,,,,0,0,3,0,4,4,4,4,1,3,4,5,4,2,1,4,3,4,3,4,1,2,2,4,0,3,0,3,2,0,1,1,0,3,1,1,0,1,0,0,0,0,1,0,0,1,1,1
Gary S Silver,,,,,,0,0,2,4,2,2,4,3,5,1,1,1,2,4,1,0,2,0,2,0,1,2,0,1,0,0,1,1,1,1,1,1,0,1,0,1,0,0,0,1,1,1,0,1,0,0,1
Daniel R Sulman,,,,,,,0,0,2,2,2,0,0,0,1,4,4,2,2,4,3,0,3,3,1,2,2,3,0,2,1,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Franklin A Bennett Iii,,,,,,,,0,1,1,2,3,2,3,0,1,0,0,2,2,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,1,0,0,1
Marissa Brumbach,,,,,,,,,5,19,14,13,7,1,5,6,7,4,5,5,6,7,3,5,6,4,2,2,5,4,4,2,3,2,2,3,3,2,1,0,3,0,3,2,0,0,1,0,0,0,1,1
Vincent N Melchiorre,,,,,,,,,,0,19,10,11,6,2,4,3,2,3,4,4,3,2,2,2,0,3,3,1,2,1,2,1,2,0,0,1,1,1,1,1,2,0,0,0,0,1,0,1,1,0,1
Vince Giusini,,,,,,,,,,,0,15,13,7,2,4,4,2,5,5,4,4,4,2,1,1,3,3,2,2,1,2,2,2,0,0,2,2,2,1,1,3,1,0,0,0,1,0,1,1,0,1
Scott Diclaudio,,,,,,,,,,,,0,11,8,7,4,4,4,5,5,6,8,2,4,3,2,4,2,5,3,4,1,5,2,3,2,4,2,3,2,4,1,2,2,2,1,2,0,1,1,0,1
William J Ciancaglini,,,,,,,,,,,,,0,5,4,2,1,2,4,1,3,4,2,1,2,1,2,0,2,1,1,0,2,2,1,0,1,1,3,2,1,2,0,1,1,1,1,0,1,1,0,1
James F Berardinelli,,,,,,,,,,,,,,1,2,1,0,2,4,4,1,3,1,2,0,0,2,1,1,0,0,1,2,1,1,1,1,1,2,1,1,2,0,0,1,1,1,0,1,1,0,1
Tracy B Roman,,,,,,,,,,,,,,,0,6,5,5,3,3,4,4,3,2,5,4,3,2,4,4,4,2,2,1,1,3,0,1,2,2,1,1,1,1,1,1,0,0,0,1,1,1
Mia Roberts Perez,,,,,,,,,,,,,,,,1,8,6,5,6,6,4,5,4,5,4,4,3,3,6,3,5,1,1,1,3,1,3,0,0,0,0,1,0,0,0,2,0,1,0,1,1
Betsy Wahl,,,,,,,,,,,,,,,,,1,4,3,6,6,3,5,5,3,5,5,2,4,4,2,5,1,0,1,2,0,2,0,0,1,0,1,0,0,0,1,0,0,0,0,1
Jennifer Schultz,,,,,,,,,,,,,,,,,,1,4,3,4,2,2,3,4,5,2,1,2,4,2,2,0,0,0,2,0,1,0,0,2,0,2,0,1,0,0,0,0,0,1,1
Rainy Papademetriou,,,,,,,,,,,,,,,,,,,0,5,3,2,3,3,3,1,0,0,2,2,3,2,1,2,0,1,2,1,0,0,0,0,2,0,0,0,1,1,1,0,0,1
Jodi Lobel,,,,,,,,,,,,,,,,,,,,0,3,2,6,6,2,2,4,3,2,3,2,5,1,0,1,2,0,2,1,0,1,0,1,0,1,1,0,0,0,0,0,1
Lucretia Clemons,,,,,,,,,,,,,,,,,,,,,0,2,3,3,5,2,3,1,3,5,4,3,3,2,3,2,2,2,1,0,2,0,2,3,1,1,1,0,0,0,0,1
Vincent Furlong,,,,,,,,,,,,,,,,,,,,,,0,1,3,2,3,2,2,2,3,1,0,2,3,1,1,2,2,2,1,2,1,1,1,0,0,2,1,1,1,1,1
Abbe Fletman,,,,,,,,,,,,,,,,,,,,,,,0,2,1,3,3,2,2,3,1,4,1,1,1,1,0,2,1,0,0,1,1,1,1,1,0,0,0,0,0,1
Chris Mallios,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,3,2,1,1,1,3,2,0,2,1,0,1,1,0,1,0,1,0,1,1,1,0,0,0,0,1
Rania Major,,,,,,,,,,,,,,,,,,,,,,,,,0,2,1,1,3,4,5,2,1,1,1,4,2,1,0,0,2,0,2,2,0,0,0,0,0,0,1,1
Stephanie M Sawyer,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,2,3,4,0,2,0,0,0,2,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1
Deborah Watson Stokes,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,4,3,0,4,1,0,1,2,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1
Leon Goodman,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2,1,2,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,1
Lynne M Summers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,2,0,1,3,2,0,0,0,2,0,1,1,0,0,0,0,0,0,0,1
Stella Tsai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,3,0,1,0,2,1,2,0,0,1,0,1,1,0,0,0,0,0,0,1,1
Frances Fattah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,2,2,0,0,1,2,0,2,2,0,0,0,0,0,0,0,1
Kai Scott,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,3,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1
Thomas Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,4,2,2,1,3,1,1,1,1,2,2,2,1,0,0,1,0,1
Daine Grey Jr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,2,0,1,0,1,0,1,2,1,1,1,1,1,0,0,1
Lyris Younge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,1,1,2,0,1,0,0,2,2,2,1,0,0,0,0,1
Shanese Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,1,0,0,1,1,1,0,0,0,0,1,1
Wayne M D Bennett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,2,0,2,2,0,0,1,0,1,0,0,1
Anthony Kyriakakis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
Chris Mccabe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,1,2,2,0,0,0,1,0,1
Edward William Louden Jr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,0,0,0,0,0,1,0,1
Jon Marshall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,2,0,0,0,0,0,0,0,1
Ken Powell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,1
Sandjai Weaver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,1
Franklin A Bennett Iii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,0,0,0,1
Leon A King Ii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,0,0,0,0,1
Joshua Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1
Michael Fanning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,1
Brian T Ortelere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1
Sherman Toppin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
Starr Marshall Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1
Tangie M Boston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1
Total,65,23,18,15,10,9,5,4,47,29,28,26,19,14,14,13,12,12,12,11,11,10,9,8,8,8,7,7,7,7,6,6,6,5,5,5,5,4,4,4,4,4,4,3,3,2,2,1,1,1,1,1
,Judge Of The Municipal Court - Democrat,,,,,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,Christian Dicicco,Sharon Williams Losier,Christine Hope,Joffie C Pittman,Daniel R Sulman,Gary S Silver,Matthew Perks,Franklin A Bennett Iii,Ken Powell,Rainy Papademetriou,Brian T Ortelere,Scott Diclaudio,Michael Fanning,Lyris Younge,Vincent N Melchiorre,Thomas Martin,Abbe Fletman,Stella Tsai,Mia Roberts Perez,Jennifer Schultz,James F Berardinelli,Kai Scott,Leon Goodman,Betsy Wahl,Chris Mallios,Lucretia Clemons,Marissa Brumbach,Rania Major,William J Ciancaglini,Anthony Kyriakakis,Jon Marshall,Deborah Watson Stokes,Leon A King Ii,Sandjai Weaver,Shanese Johnson,Sherman Toppin,Tracy B Roman,Vince Giusini,Vincent Furlong,Wayne M D Bennett,Chris Mccabe,Frances Fattah,Joshua Hill,Lynne M Summers,Tangie M Boston,Daine Grey Jr,Edward William Louden Jr,Jodi Lobel,Stephanie M Sawyer,Franklin A Bennett Iii,Starr Marshall Cash,2
Christian Dicicco,2,102,101,1,2,3,0,1,100,100,99,102,102,97,101,95,88,9,4,8,8,1,5,1,2,2,3,5,4,3,2,2,1,2,2,1,4,3,3,1,1,2,2,2,0,0,2,0,2,1,1,2
Sharon Williams Losier,,1,102,4,1,1,1,0,101,101,99,102,101,99,97,94,88,7,6,5,5,4,5,2,2,4,2,6,0,3,3,3,3,4,4,2,3,1,2,2,1,3,3,2,2,1,2,0,2,1,1,2
Christine Hope,,,1,1,1,2,0,0,100,101,96,99,98,98,97,93,88,9,4,5,5,1,4,2,3,3,4,4,3,2,1,2,1,3,2,1,4,1,2,1,1,3,1,2,0,1,2,0,2,0,1,2
Joffie C Pittman,,,,0,5,2,5,0,4,4,5,2,1,3,1,2,3,3,6,2,1,6,3,3,4,5,0,2,0,2,4,2,3,2,3,3,0,1,2,3,2,1,1,1,3,2,0,2,0,1,0,2
Daniel R Sulman,,,,,0,1,3,1,4,4,4,1,1,2,2,2,5,2,4,2,1,5,1,2,3,3,0,0,1,2,1,2,1,0,1,2,1,1,1,3,2,0,1,0,2,0,0,2,0,0,0,2
Gary S Silver,,,,,,0,1,0,4,2,3,3,2,2,2,3,1,2,3,3,2,2,4,0,1,1,1,1,1,2,2,1,1,0,0,2,0,0,2,0,0,0,1,0,1,1,0,0,0,0,0,2
Matthew Perks,,,,,,,0,0,3,3,3,1,0,2,1,1,3,0,3,0,0,3,2,3,4,3,0,0,0,1,2,0,2,1,0,1,0,1,0,2,2,0,0,0,1,1,0,2,0,0,0,2
Franklin A Bennett Iii,,,,,,,,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Ken Powell,,,,,,,,,0,103,103,103,101,100,98,96,92,3,5,3,2,4,6,3,4,3,1,2,0,2,2,2,2,0,1,2,1,0,2,2,3,0,1,0,1,1,1,2,1,0,0,2
Rainy Papademetriou,,,,,,,,,,0,102,101,100,101,98,96,92,5,4,4,2,3,4,3,3,4,1,3,1,2,2,1,1,3,1,2,2,1,0,2,3,3,0,2,0,2,0,2,1,0,1,2
Brian T Ortelere,,,,,,,,,,,0,102,100,98,97,95,90,3,4,3,2,3,4,2,3,3,0,1,0,1,3,1,1,0,1,2,0,1,2,2,3,0,0,0,1,1,0,2,0,1,0,2
Scott Diclaudio,,,,,,,,,,,,0,103,100,99,97,90,4,3,4,4,1,4,0,1,1,1,2,0,3,2,0,1,0,1,1,1,1,1,1,1,0,2,0,0,1,1,0,0,1,0,2
Michael Fanning,,,,,,,,,,,,,0,98,99,96,89,3,2,4,4,1,4,0,1,0,0,3,0,1,2,0,0,1,1,1,0,1,1,0,1,1,1,1,0,0,0,0,0,1,1,2
Lyris Younge,,,,,,,,,,,,,,0,98,95,89,4,3,2,1,1,3,1,2,2,0,1,1,2,2,0,2,2,1,1,1,2,0,0,1,1,0,1,1,2,0,0,0,0,0,2
Vincent N Melchiorre,,,,,,,,,,,,,,,0,93,88,4,3,2,3,0,3,1,2,1,1,0,3,1,1,0,1,1,0,0,1,4,1,0,1,0,0,0,1,0,0,0,0,0,0,2
Thomas Martin,,,,,,,,,,,,,,,,0,84,4,2,4,3,1,3,0,1,0,0,2,1,3,2,0,1,0,1,1,1,1,1,0,1,0,1,0,0,1,0,0,0,1,0,2
Abbe Fletman,,,,,,,,,,,,,,,,,0,3,3,2,1,3,2,2,4,2,0,0,1,1,0,0,0,0,0,0,1,1,0,2,3,0,0,0,0,0,0,2,0,0,0,2
Stella Tsai,,,,,,,,,,,,,,,,,,0,5,6,5,2,2,1,1,3,3,4,4,3,1,3,2,2,4,1,4,1,3,2,1,2,2,2,1,1,2,0,2,1,0,2
Mia Roberts Perez,,,,,,,,,,,,,,,,,,,0,3,3,6,3,3,4,6,2,2,1,3,2,2,2,2,2,2,1,1,2,4,3,1,3,1,3,1,1,2,0,0,0,2
Jennifer Schultz,,,,,,,,,,,,,,,,,,,,0,5,2,4,1,0,3,2,4,2,3,3,2,0,2,1,2,3,1,2,1,0,2,2,2,1,0,1,0,1,1,1,2
James F Berardinelli,,,,,,,,,,,,,,,,,,,,,0,1,3,0,1,1,2,4,2,3,2,1,1,1,2,1,3,2,3,1,0,1,2,1,0,0,2,0,1,1,1,2
Kai Scott,,,,,,,,,,,,,,,,,,,,,,0,2,2,3,4,0,2,0,2,1,2,1,1,2,2,0,0,1,3,2,1,2,1,2,1,0,2,0,0,0,2
Leon Goodman,,,,,,,,,,,,,,,,,,,,,,,0,1,1,2,0,3,0,2,4,2,3,2,1,3,1,1,2,0,0,1,1,1,2,1,1,0,1,0,1,2
Betsy Wahl,,,,,,,,,,,,,,,,,,,,,,,,2,4,4,2,1,0,0,1,1,1,2,0,0,1,1,0,2,2,1,0,0,1,0,0,2,1,0,0,2
Chris Mallios,,,,,,,,,,,,,,,,,,,,,,,,,0,3,2,0,1,0,1,0,1,1,0,0,0,1,1,2,2,0,0,0,1,0,0,2,0,0,0,2
