col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,order,division
Patrick Parkinson,,,,,,,0,9,20
Total,16,10,16,15,13,12,8,10,20
,Representative In Congress 2nd District - Democrat,,Member Of The - Democratic State Committee 5th Senatorial District,,,,,1,21
,Brendan F Boyle,Michele Lawrence,Kathy Enggasser,John Dellricci,Mary Ann Quartullo,James G Donnelly Sr,Patrick Parkinson,2,21
Brendan F Boyle,4,0,20,16,16,18,14,3,21
Michele Lawrence,,0,6,8,7,6,5,4,21
Kathy Enggasser,,,1,19,19,21,19,5,21
John Dellricci,,,,0,20,19,18,6,21
Mary Ann Quartullo,,,,,1,18,19,7,21
James G Donnelly Sr,,,,,,0,18,8,21
Patrick Parkinson,,,,,,,0,9,21
Total,29,12,27,25,25,24,19,10,21
,Representative In Congress 2nd District - Democrat,,Member Of The - Democratic State Committee 5th Senatorial District,,,,,1,22
,Brendan F Boyle,Michele Lawrence,John Dellricci,Kathy Enggasser,James G Donnelly Sr,Mary Ann Quartullo,Patrick Parkinson,2,22
Brendan F Boyle,5,0,12,11,10,10,10,3,22
Michele Lawrence,,1,6,3,2,2,0,4,22
John Dellricci,,,0,10,10,10,8,5,22
Kathy Enggasser,,,,0,9,11,8,6,22
James G Donnelly Sr,,,,,0,9,9,7,22
Mary Ann Quartullo,,,,,,0,8,8,22
Patrick Parkinson,,,,,,,0,9,22
Total,22,10,18,14,12,12,10,10,22
,Member Of The - Democratic State Committee 5th Senatorial District,,,,,Representative In Congress 2nd District - Democrat,,1,23
,James G Donnelly Sr,Kathy Enggasser,Mary Ann Quartullo,Patrick Parkinson,John Dellricci,Brendan F Boyle,Michele Lawrence,2,23
James G Donnelly Sr,2,15,15,15,15,17,5,3,23
Kathy Enggasser,,0,16,15,14,11,6,4,23
Mary Ann Quartullo,,,0,15,14,10,7,5,23
Patrick Parkinson,,,,0,15,11,6,6,23
John Dellricci,,,,,0,11,5,7,23
Brendan F Boyle,,,,,,4,0,8,23
Michele Lawrence,,,,,,,0,9,23
Total,24,17,17,17,16,22,9,10,23
,Representative In Congress 2nd District - Democrat,,Member Of The - Democratic State Committee 5th Senatorial District,,,,,1,24
,Brendan F Boyle,Michele Lawrence,James G Donnelly Sr,Kathy Enggasser,John Dellricci,Mary Ann Quartullo,Patrick Parkinson,2,24
Brendan F Boyle,8,0,22,17,16,16,16,3,24
Michele Lawrence,,2,1,3,3,2,1,4,24
James G Donnelly Sr,,,1,17,16,17,17,5,24
Kathy Enggasser,,,,0,17,17,17,6,24
John Dellricci,,,,,0,15,16,7,24
Mary Ann Quartullo,,,,,,0,16,8,24
Patrick Parkinson,,,,,,,0,9,24
Total,32,6,24,20,19,18,17,10,24
,Member Of The - Democratic State Committee 5th Senatorial District,,,,,Representative In Congress 2nd District - Democrat,,1,25
,Mary Ann Quartullo,John Dellricci,Kathy Enggasser,James G Donnelly Sr,Patrick Parkinson,Brendan F Boyle,Michele Lawrence,2,25
Mary Ann Quartullo,0,26,28,24,24,23,11,3,25
John Dellricci,,2,24,24,24,20,10,4,25
Kathy Enggasser,,,0,24,24,23,9,5,25
James G Donnelly Sr,,,,0,24,21,5,6,25
Patrick Parkinson,,,,,0,19,4,7,25
Brendan F Boyle,,,,,,4,0,8,25
Michele Lawrence,,,,,,,1,9,25
Total,35,33,33,27,24,32,20,10,25
,Representative In Congress 2nd District - Democrat,,Member Of The - Democratic State Committee 5th Senatorial District,,,,,1,26
,Brendan F Boyle,Michele Lawrence,Kathy Enggasser,John Dellricci,Mary Ann Quartullo,James G Donnelly Sr,Patrick Parkinson,2,26
Brendan F Boyle,9,0,5,7,5,4,5,3,26
Michele Lawrence,,2,8,4,6,6,4,4,26
Kathy Enggasser,,,0,7,10,7,8,5,26
John Dellricci,,,,1,8,7,7,6,26
Mary Ann Quartullo,,,,,0,7,7,7,26
James G Donnelly Sr,,,,,,0,7,8,26
Patrick Parkinson,,,,,,,0,9,26
Total,18,14,13,12,11,10,9,10,26
